Time,Valence,Arousal
0.48,0.25395455956459045,-0.0087300268933177
0.5,0.25568073987960815,-0.00908599328249693
0.52,0.2660851776599884,-0.002936876844614744
0.54,0.2414524257183075,-0.012495545670390129
0.56,0.22032234072685242,-0.03141051530838013
0.58,0.20794561505317688,-0.04164621978998184
0.6,0.19481535255908966,-0.04758657142519951
0.62,0.2987883388996124,-0.0050504859536886215
0.64,0.25680699944496155,-0.00553850969299674
0.66,0.27874308824539185,0.006661170162260532
0.68,0.29120561480522156,0.015417882241308689
0.7,0.29038769006729126,0.013738559558987617
0.72,0.277459055185318,0.006271003745496273
0.74,0.2636248767375946,-0.004233820829540491
0.76,0.26579001545906067,-0.00474077183753252
0.78,0.2775912582874298,0.0035471906885504723
0.8,0.2844533324241638,0.007460953202098608
0.82,0.27617523074150085,0.0023228670470416546
0.84,0.25753945112228394,-0.00736337760463357
0.86,0.24361763894557953,-0.017100747674703598
0.88,0.2364010214805603,-0.0293574295938015
0.9,0.24523748457431793,-0.028434770181775093
0.92,0.24327616393566132,-0.02972497045993805
0.94,0.24799080193042755,-0.032379817217588425
0.96,0.2459874451160431,-0.035736024379730225
0.98,0.24709299206733704,-0.03987095504999161
1.0,0.2368774712085724,-0.04759218171238899
1.02,0.2457878142595291,-0.052743539214134216
1.04,0.26268163323402405,-0.057407308369874954
1.06,0.26814085245132446,-0.06288613379001617
1.08,0.25987786054611206,-0.07233662903308868
1.1,0.2630290389060974,-0.07851150631904602
1.12,0.24798479676246643,-0.08370572328567505
1.14,0.25494757294654846,-0.08727505058050156
1.16,0.25317466259002686,-0.08750548958778381
1.18,0.24749277532100677,-0.08974602073431015
1.2,0.2556873559951782,-0.08636736124753952
1.22,0.25078579783439636,-0.08734940737485886
1.24,0.25291359424591064,-0.09049506485462189
